  4.515  4.982  5.408  5.903  6.145
  4.235  4.199  4.683  4.915  4.957
  3.980  4.364  4.792  4.986  5.032
  4.357  4.772  5.098  5.298  5.356
  4.340  4.953  5.423  5.974  6.276
  4.586  5.081  5.362  5.764  5.995
  4.406  4.560  4.952  5.228  5.328
  4.243  4.638  4.952  5.381  5.478
  4.815  5.174  5.759  6.119  6.241
  3.840  4.167  4.669  4.669  4.799
  4.069  4.310  4.900  5.102  5.102
  4.283  4.795  5.270  5.550  5.647
  4.474  4.887  5.233  5.551  5.736
  4.455  4.837  5.111  5.335  5.463
  4.595  4.079  4.171  4.348  4.593
  3.731  4.146  4.613  4.866  4.928
  4.672  4.884  5.178  5.336  5.492
  2.962  3.465  3.756  3.888  4.301
  3.242  3.931  4.762  4.618  4.643
  4.359  4.770  5.019  5.263  5.450
  4.035  4.638  4.860  5.094  5.247
  3.534  4.252  4.675  4.975  5.177
  4.215  4.689  5.074  5.370  5.577
  2.789  3.096  3.304  3.378  3.550
  3.302  3.895  4.341  4.957  5.398
  3.339  3.805  4.206  4.539  4.860
  3.761  4.355  4.699  5.440  5.315
  4.489  4.758  5.154  5.370  5.555
  4.878  5.141  5.515  6.076  6.166
  4.880  5.315  5.626  5.750  5.936
  3.802  4.160  4.451  4.891  5.051
  4.459  4.621  5.000  5.396  5.487
  4.286  4.819  5.321  5.456  5.498
  4.058  4.577  4.807  5.121  5.267
  5.161  5.429  5.708  6.076  6.212
  3.810  4.115  4.419  4.619  4.595
  5.091  5.618  5.903  6.359  6.490
  4.134  4.706  5.274  5.558  5.717
  4.846  5.356  5.516  5.961  6.128
  4.110  4.621  4.950  5.284  5.432
  4.948  5.394  5.821  6.424  6.482
  4.363  4.652  5.035  5.383  5.471
  4.046  4.651  5.089  5.443  5.601
  3.756  4.272  4.588  5.101  5.245
  2.842  3.254  3.694  4.161  4.206
  4.326  4.796  5.091  5.423  5.605
  3.987  4.553  4.907  5.261  5.298
  3.495  3.754  3.972  4.714  4.848
  3.312  3.447  4.164  4.478  4.544
  3.028  3.548  3.969  4.400  4.581
  3.268  3.829  4.441  4.804  4.886
  3.559  4.179  4.698  5.270  5.281
  3.390  3.734  3.922  4.112  4.152
  3.723  4.161  4.548  5.033  5.023
  4.525  5.046  5.181  5.407  5.419
  4.975  5.324  5.825  6.288  6.452
  4.370  4.805  5.033  5.193  5.396
  4.579  4.994  5.374  5.682  5.934
  4.000  4.498  4.917  5.444  5.869
  4.733  5.054  5.333  5.919  6.010
  5.154  5.625  6.114  6.392  6.606
  4.103  4.461  4.835  5.289  5.475
  3.216  3.849  4.475  4.851  5.109
  2.227  2.886  3.162  3.400  3.516
  3.654  4.357  4.761  5.175  5.439
  3.399  3.916  4.501  4.974  5.144
  5.158  5.485  5.735  6.054  6.211
  4.043  4.522  5.152  5.594  5.871
  4.516  4.913  5.040  5.710  5.971
  4.556  5.124  5.400  5.686  5.889
  4.900  5.350  5.709  6.122  6.248
  4.828  5.098  5.432  5.590  6.040
  5.461  5.786  6.118  6.407  6.626
  4.174  4.673  5.157  5.561  5.747
  3.349  4.047  4.507  5.224  5.438
  3.326  3.819  4.377  4.987  5.166
  3.413  3.682  4.034  4.283  4.541
  4.500  4.802  5.278  5.826  6.160
  2.994  3.614  4.483  4.907  5.061
